n	a [Pa]	b	ph [hPa]	pf [hPa]	Geopotential Altitude [m]	Geometric Altitude [m]	Temperature [K]	Density [kg/m^3]
0	0.000000	0.000000	0.000000	-	-	-	-	-
1	2.000365	0.000000	0.0200	0.0100	79301.79	80301.65	198.05	0.000018
2	3.102241	0.000000	0.0310	0.0255	73721.58	74584.91	209.21	0.000042
3	4.666084	0.000000	0.0467	0.0388	71115.75	71918.79	214.42	0.000063
4	6.827977	0.000000	0.0683	0.0575	68618.43	69365.77	221.32	0.000090
5	9.746966	0.000000	0.0975	0.0829	66210.99	66906.53	228.06	0.000127
6	13.605424	0.000000	0.1361	0.1168	63890.03	64537.43	234.56	0.000173
7	18.608931	0.000000	0.1861	0.1611	61651.77	62254.39	240.83	0.000233
8	24.985718	0.000000	0.2499	0.2180	59492.50	60053.46	246.87	0.000308
9	32.985710	0.000000	0.3299	0.2899	57408.61	57930.78	252.71	0.000400
10	42.879242	0.000000	0.4288	0.3793	55396.62	55882.68	258.34	0.000512
11	54.955463	0.000000	0.5496	0.4892	53453.20	53905.62	263.78	0.000646
12	69.520576	0.000000	0.6952	0.6224	51575.15	51996.21	269.04	0.000806
13	86.895882	0.000000	0.8690	0.7821	49767.41	50159.36	270.65	0.001007
14	107.415741	0.000000	1.0742	0.9716	48048.70	48413.94	270.65	0.001251
15	131.425507	0.000000	1.3143	1.1942	46416.22	46756.98	269.02	0.001546
16	159.279404	0.000000	1.5928	1.4535	44881.17	45199.69	264.72	0.001913
17	191.338562	0.000000	1.9134	1.7531	43440.23	43738.55	260.68	0.002343
18	227.968948	0.000000	2.2797	2.0965	42085.00	42364.93	256.89	0.002843
19	269.539581	0.000000	2.6954	2.4875	40808.05	41071.20	253.31	0.003421
20	316.420746	0.000000	3.1642	2.9298	39602.76	39850.56	249.94	0.004084
21	368.982361	0.000000	3.6898	3.4270	38463.25	38696.94	246.75	0.004838
22	427.592499	0.000000	4.2759	3.9829	37384.22	37604.95	243.73	0.005693
23	492.616028	0.000000	4.9262	4.6010	36360.94	36569.72	240.86	0.006655
24	564.413452	0.000000	5.6441	5.2851	35389.15	35586.89	238.14	0.007731
25	643.339905	0.000000	6.4334	6.0388	34465.00	34652.52	235.55	0.008931
26	729.744141	0.000000	7.2974	6.8654	33585.02	33763.05	233.09	0.010261
27	823.967834	0.000000	8.2397	7.7686	32746.04	32915.27	230.74	0.011729
28	926.344910	0.000000	9.2634	8.7516	31945.53	32106.57	228.60	0.013337
29	1037.201172	0.000000	10.3720	9.8177	31177.59	31330.96	227.83	0.015012
30	1156.853638	0.000000	11.5685	10.9703	30438.54	30584.71	227.09	0.016829
31	1285.610352	0.000000	12.8561	12.2123	29726.69	29866.09	226.38	0.018793
32	1423.770142	0.000000	14.2377	13.5469	29040.48	29173.50	225.69	0.020910
33	1571.622925	0.000000	15.7162	14.9770	28378.46	28505.47	225.03	0.023186
34	1729.448975	0.000000	17.2945	16.5054	27739.29	27860.64	224.39	0.025624
35	1897.519287	0.000000	18.9752	18.1348	27121.74	27237.73	223.77	0.028232
36	2076.095947	0.000000	20.7610	19.8681	26524.63	26635.56	223.17	0.031013
37	2265.431641	0.000000	22.6543	21.7076	25946.90	26053.04	222.60	0.033972
38	2465.770508	0.000000	24.6577	23.6560	25387.55	25489.15	222.04	0.037115
